,id,geom_id,lines,color_symbol,length,x,y,num
0,753,2000393,G,G,2438.20024902,-73.99487524803018 -73.99427469414127 -73.9942168049715 -73.9941660725898 -73.99411471677327 -73.9940635700395 -73.99401368539809 -73.99396235156854 -73.99391126703496 -73.99386095364044 -73.99381034674546 -73.99375975375001 -73.99370975453519 -73.99365946654771 -73.99360890506807 -73.99355835994191 -73.99350838602531 -73.99066967148987 ,40.6802035460625 40.68081016270495 40.68088280879707 40.68094977567929 40.681016234616614 40.68108477012707 40.6811526149855 40.68122105948818 40.681291555351955 40.68136199360065 40.6814328424454 40.68150569581264 40.681577696402535 40.68165011029012 40.68172392984253 40.68179873453544 40.681873696827665 40.68606925530288 ,18
1,754,2000394,G,G,3872.83441063,-73.97957543205142 -73.97965516869557 -73.98019277510113 -73.98024660003978 -73.98021982320536 -73.98009901040854 -73.97977670558397 -73.97717129293514 -73.976781852058 -73.97651334328621 -73.97633885050956 -73.97573559925392 -73.97566871827712 -73.9756594994904 ,40.65993069553076 40.65981741117469 40.65886613985546 40.658549026771446 40.65825235955759 40.657976135835966 40.65771010569873 40.65618538710448 40.65590910620024 40.655520321024085 40.65516224510277 40.65187837176674 40.65112135659427 40.65072922971845 ,14
2,755,2000469,Q,N,1843.36633108,-73.97585637503069 -73.97654226924728 -73.97664866766722 -73.97675256363787 -73.97685888125447 -73.9769646517183 -73.97706901464228 -73.97717360833487 -73.97727995358512 -73.97738501034732 -73.97749008997707 -73.97759424731635 -73.97769852557036 -73.97780382196 -73.97790820471798 -73.9780128757433 -73.97811970575823 -73.9801349610173 -73.9801725781858 -73.98021920944858 -73.98026506561798 -73.98031008647031 -73.98035422123048 -73.98039740967518 -73.98043960221084 -73.98048074451938 -73.98052078346414 -73.9805596718146 -73.98059736115766 -73.98063380308224 -73.98066895271862 -73.9807027663793 -73.98073520273894 -73.98076621929052 -73.98079578061328 -73.98082384656384 -73.98085038526382 -73.9808753612939 -73.98089874395717 -73.98092050610087 -73.98094061820926 -73.9809590566737 -73.98097579788283 -73.98099081940816 -73.98101563967421 -73.9811502261517 ,40.5759745053941 40.57575795972222 40.5757289430899 40.57570270577129 40.575678006942184 40.57565749984579 40.57563957777658 40.57562356927263 40.57561054715872 40.575600898957525 40.57559339391277 40.575589098961395 40.57558694898813 40.57558802389471 40.57559125168284 40.575597793360984 40.575607705117186 40.57587694172355 40.575882998845096 40.5758991406778 40.575916526883084 40.575935135838854 40.57595494412388 40.57597592741468 40.57599805868819 40.57602131182103 40.576045657988516 40.576071064764946 40.57609750332652 40.576124937645325 40.576153336196576 40.576182662953144 40.576212880087304 40.576243951572096 40.576275839580674 40.57630850088237 40.576341898551405 40.576375987556716 40.57641072827122 40.57644607566506 40.57648198831021 40.57651841667474 40.57655532023196 40.57659265125111 40.576668409258794 40.57728494923349 ,46
3,756,2000294,M,B,1919.5592029,-73.92414355434533 -73.9240493608916 -73.9239685852581 -73.92391135424123 -73.92386611143704 -73.92379689355062 -73.9237378735467 -73.92366617911016 -73.9236006857971 -73.92354092662931 -73.92137832135633 -73.92136746445769 -73.92135896267031 -73.9213485722065 -73.92133633119674 -73.92132680981037 -73.92130925830907 -73.9212954906575 -73.92128285016192 -73.9212613676393 -73.92124676164921 -73.92123475969744 -73.92122376012833 -73.92121070176553 -73.92055564103553 ,40.752290926571746 40.75235476981202 40.75244418539623 40.752520834695865 40.75258609148489 40.75267157847301 40.75274868305721 40.75282809801474 40.752909696264325 40.752988699422 40.75577018287048 40.755784295387485 40.75579563145152 40.75580885548611 40.755824768966725 40.75583809715095 40.7558604366114 40.755876499429135 40.75589373817518 40.75592059007678 40.75593856588983 40.75595456777234 40.7559681056554 40.755984177952826 40.75679224872182 ,25
4,757,2000296,M,B,2385.69853589,-73.91344685471373 -73.90904942550716 -73.90689691772995 -73.90611273844773 ,40.75617157636837 40.75410484686675 40.75307917534675 40.75274137406311 ,4
5,758,2000295,M,B,2470.8185824,-73.92055586637017 -73.91967173062106 -73.91955133905881 -73.91942578661394 -73.91929176071744 -73.91915648841375 -73.91901789171129 -73.91887638677619 -73.91873077164827 -73.91858180268387 -73.91842515038284 -73.91826182455694 -73.91809110448119 -73.91791410161247 -73.91772938152099 -73.9175362791609 -73.91733523060068 -73.91495175934024 -73.91491698656708 -73.91488098655331 -73.91484616411067 -73.91481116243837 -73.91477398611347 -73.91473564054105 -73.91469963934439 -73.91466364063089 -73.91462525351666 -73.91458925356103 -73.91455442292941 -73.91451942249529 -73.91447978922845 -73.91444264712437 -73.91440773906398 -73.91344647362847 ,40.756791970621016 40.75787776501643 40.757996400022364 40.75808818362627 40.7581680663819 40.75823352111117 40.75828431131742 40.758322045584315 40.75834674106358 40.75835780754279 40.75835521042547 40.7583393196039 40.758309823862774 40.758265345287306 40.75820623492131 40.75813124505139 40.758041250338145 40.756884450541634 40.75686706401855 40.756849063333874 40.75683165243894 40.75681365156979 40.756795062852035 40.75677589062964 40.75675889034872 40.756740890497255 40.756722764594585 40.75670576427993 40.75668931593064 40.75667231543494 40.756653600528736 40.75663709189666 40.75662105317536 40.75617139778195 ,34
6,759,2000239,G,G,2448.06920027,-73.9850998845245 -73.98414759690938 -73.98407178390057 -73.98399539242847 -73.98392000514582 -73.98384500582762 -73.98377100502215 -73.98369408480103 -73.9836181686737 -73.9835441678033 -73.98346722858795 -73.98339078244817 -73.98331627395595 -73.98324080982268 -73.98316384075656 -73.98308884127684 -73.98301427834113 -73.9829457932631 -73.9828757932797 -73.98280479227469 -73.98273837536351 -73.98266837578782 -73.98259837600354 -73.98252837534834 -73.9824604445342 -73.98239294612522 -73.98232143745264 -73.9822544853776 -73.98218697766009 -73.98211945106894 -73.98204990209197 -73.98197637480304 -73.98139974603757 -73.98136258879084 -73.98132193867961 -73.9812802769445 -73.981238546622 -73.98119773510916 -73.98115780968384 -73.98111689982261 -73.98107591663864 -73.98103580140264 -73.98099656396988 -73.98095313644345 -73.98091285156441 -73.98087667845908 -73.98083808285892 -73.98080735447664 -73.98041226754869 -73.98030413667088 -73.98019246963382 -73.98008006849199 -73.97996572366604 -73.97985077368338 -73.9797327104018 -73.97961282320377 -73.97948989481303 -73.9793654284138 -73.97924147832158 -73.9791146632546 -73.97898599259402 -73.97885338005614 -73.97872135445564 -73.97858841465737 -73.97679525563343 ,40.68833718861588 40.68796468645509 40.687935999134915 40.687907480080256 40.68787997419278 40.68785297259781 40.68782597379622 40.68779828293897 40.687771963655166 40.68774596427738 40.68771929264674 40.68769381061405 40.68766897447967 40.68764347988236 40.68761884950825 40.687594849731546 40.6875709895499 40.68754880427541 40.6875248032994 40.68750180350216 40.68747903307925 40.68745403240687 40.68743003216235 40.68740503320552 40.68738174099467 40.68735630738858 40.68733076866724 40.68730651023393 40.68728107380379 40.68725562742542 40.68722841298372 40.68720110332297 40.68699523520703 40.68698130185197 40.686965667748304 40.68695071245293 40.68693573191691 40.68692212840116 40.686908470084624 40.686895550914336 40.68688260920462 40.68687099678137 40.68685933045827 40.686847594088746 40.68683779432842 40.686828996608455 40.686819347488395 40.68681251827535 40.686696547495835 40.68666627088095 40.68664109136334 40.68661839522679 40.68660005622744 40.68658409166296 40.686571211595 40.68656157743448 40.68655510791242 40.686552980260046 40.68655298047994 40.68655612373948 40.68656139803616 40.686570947103505 40.68658352005125 40.68659885905538 40.68680787815202 ,65
7,760,2000238,G,G,690.126468476,-73.98509968743714 -73.98731519816799 ,40.68834564981452 40.689208224449125 ,2
8,761,2000277,S,L,2097.71796243,-73.82761616469517 -73.82284313698543 -73.82273249192208 -73.82262661261724 -73.82252061214234 -73.82241517228012 -73.82231348163045 -73.8222125380177 -73.8221130887116 -73.82201536057306 -73.82191820752537 -73.82182307149762 -73.82172886287384 -73.82163625628169 -73.82154598898228 -73.82145757179389 -73.8213679181643 -73.8205931064363 ,40.58332613477742 40.58465770090677 40.58469048498071 40.584722447822095 40.584753743089436 40.58478650157884 40.58481872005133 40.584850701851046 40.58488216086934 40.58491440052184 40.58494577287606 40.584978160466655 40.585009562441634 40.58504212760363 40.58507356886652 40.58510572074647 40.585137302404554 40.58543137117277 ,18
9,762,2000265,A,A,5840.91203808,-73.80921562485284 -73.81544647710383 -73.81545448097779 -73.81546347977908 -73.81547192356737 -73.81548208422915 -73.81548992782406 -73.81549792860379 -73.81550692742772 -73.8155153893838 -73.81552392122228 -73.81553088345463 -73.81554776280798 -73.81555576402285 -73.81557096534232 -73.81560043170515 -73.81562996781585 -73.81565871321827 -73.81568753374883 -73.81571635710567 ,40.5931777709573 40.607725197788184 40.60774620634696 40.60776720479568 40.60778936763014 40.607811949262064 40.60783024968646 40.60785024965059 40.607871249896725 40.60789240687204 40.607911366681385 40.60792963867243 40.60797184178268 40.60799084126145 40.60802884253384 40.60810545682647 40.6081842225735 40.60826352195495 40.608343024967326 40.60842452533737 ,20
