Average Weekday Subway Ridership,,,,,,,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank,,,,,,,,
The Bronx,,,,,,,,,,,,,,,,,,,
"138 St-Grand Concourse (4,5)",1,Bx,"3,532","3,486","3,166","3,324","1,211","2,127",915,75.6%,320,,,,,,,,
"149 St-Grand Concourse (2,4,5)",,Bx,"14,460","14,063","13,081","12,960","5,814","5,873",60,1.0%,118,,,,,,,,
"161 St-Yankee Stadium (B,D,4)",,Bx,"26,947","26,674","26,034","25,642","10,112","12,374","2,262",22.4%,36,,,,,,,,
167 St (4),,Bx,"9,972","9,466","9,398","8,486","4,357","5,066",709,16.3%,144,,,,,,,,
"167 St (B,D)",2,Bx,"10,439","10,223","6,342","8,542","4,405","4,723",318,7.2%,163,,,,,,,,
170 St (4),,Bx,"9,514","8,910","8,140","7,926","3,983","4,039",56,1.4%,186,,,,,,,,
"170 St (B,D)",,Bx,"7,225","7,089","7,913","6,767","3,127","3,468",342,10.9%,222,,,,,,,,
"174 St (2,5)",,Bx,"7,690","7,466","6,751","6,644","3,051","3,437",386,12.7%,223,,,,,,,,
"174-175 Sts (B,D)",3,Bx,"5,519","5,475","3,221","4,869","2,496","2,727",231,9.3%,263,,,,,,,,
176 St (4),,Bx,"6,378","6,232","5,807","5,518","2,762","2,980",218,7.9%,250,,,,,,,,
"182-183 Sts (B,D)",,Bx,"5,177","4,990","4,752","4,773","2,377","2,535",158,6.7%,287,,,,,,,,
183 St (4),,Bx,"6,443","6,271","5,754","5,641","2,944","3,269",325,11.0%,233,,,,,,,,
"219 St (2,5)",,Bx,"3,423","3,439","3,335","3,232","1,478","1,570",92,6.2%,363,,,,,,,,
"225 St (2,5)",,Bx,"4,408","4,340","3,961","3,898","1,774","1,918",144,8.1%,338,,,,,,,,
231 St (1),,Bx,"9,749","9,774","10,287","9,658","4,184","4,786",602,14.4%,160,,,,,,,,
"233 St (2,5)",,Bx,"5,438","5,138","4,864","4,768","2,348","2,546",198,8.4%,286,,,,,,,,
238 St (1),4,Bx,"4,350","4,370","3,225","3,998","1,908","2,204",296,15.5%,315,,,,,,,,
3 Av-138 St (6),,Bx,"8,008","8,114","7,801","8,100","4,005","4,326",321,8.0%,175,,,,,,,,
"3 Av-149 St (2,5)",,Bx,"24,808","24,228","22,357","22,167","10,187","10,558",370,3.6%,47,,,,,,,,
"Allerton Av (2,5)",,Bx,"5,530","5,403","5,144","5,161","2,443","2,685",241,9.9%,271,,,,,,,,
Baychester Av (5),,Bx,"4,064","3,846","3,551","3,789","1,666","1,661",-5,-0.3%,356,,,,,,,,
"Bedford Park Blvd (B,D)",,Bx,"7,236","7,066","6,419","6,911","3,099","3,492",393,12.7%,219,,,,,,,,
Bedford Park Blvd-Lehman College (4),,Bx,"5,912","5,649","5,170","5,066","2,206","2,553",347,15.7%,285,,,,,,,,
"Bronx Park East (2,5)",,Bx,"2,785","2,676","2,498","2,526","1,166","1,352",187,16.0%,378,,,,,,,,
Brook Av (6),,Bx,"6,226","6,118","6,040","5,917","3,009","3,350",341,11.3%,227,,,,,,,,
Buhre Av (6),,Bx,"3,568","3,701","3,744","3,898","1,730","1,960",230,13.3%,333,,,,,,,,
"Burke Av (2,5)",,Bx,"3,550","3,466","3,234","3,250","1,561","1,700",139,8.9%,353,,,,,,,,
Burnside Av (4),,Bx,"11,479","11,079","10,231","9,964","4,629","5,076",447,9.7%,142,,,,,,,,
Castle Hill Av (6),,Bx,"6,895","6,756","6,483","6,435","3,037","3,402",366,12.0%,225,,,,,,,,
Cypress Av (6),,Bx,"4,099","3,972","3,651","3,462","1,649","1,718",69,4.2%,351,,,,,,,,
East 143 St-St Mary's St (6),,Bx,"1,043",953,"1,019","1,085",567,688,121,21.3%,412,,,,,,,,
East 149 St (6),,Bx,"4,861","4,899","4,842","4,821","2,515","2,724",209,8.3%,264,,,,,,,,
"East 180 St (2,5)",,Bx,"7,697","7,691","7,175","7,089","3,479","3,829",350,10.1%,193,,,,,,,,
Eastchester-Dyre Av (5),,Bx,"4,769","4,647","4,506","4,672","2,168","2,300",132,6.1%,307,,,,,,,,
Elder Av (6),,Bx,"6,642","6,605","6,323","6,371","3,278","3,662",385,11.7%,205,,,,,,,,
Fordham Rd (4),,Bx,"11,957","11,503","10,395","9,796","4,857","5,666",809,16.7%,125,,,,,,,,
"Fordham Rd (B,D)",,Bx,"12,208","12,054","11,361","11,587","5,349","5,766",417,7.8%,121,,,,,,,,
"Freeman St (2,5)",,Bx,"5,055","4,984","4,451","4,387","2,048","2,373",325,15.9%,299,,,,,,,,
"Gun Hill Rd (2,5)",,Bx,"7,714","7,639","6,930","7,022","3,214","3,470",256,8.0%,221,,,,,,,,
